director,title,budget,revenue,return,year
John Fortenberry,Comedy Central Roast of Jeff Foxworthy,,,,2005
Joel Gallen,Comedy Central Roast of Larry the Cable Guy,,,,2009
Joel Gallen,Comedy Central Roast of David Hasselhoff,,,,2010
Joel Gallen,Comedy Central Roast of Roseanne,,,,2012
Joel Gallen,Comedy Central Roast of Joan Rivers,,,,2009
Justin Krook,I'll Sleep When I'm Dead,,,,2016
Aleksandr Melnik,Terra Nova,,,,2008
Jarmo Lampela,Miesten välisiä keskusteluja,,3.0,,2013
Philippe Claudel,Before the Winter Chill,,,,2013
Koldo Serra,Guernica,6229577.0,,,2016
Martin G. Goldman,The Legend of Nigger Charley,,,,1972
Meera Menon,Equity,,1605463.0,,2016
Arthur Romeo,Cruel Will,80000.0,,,2013
Malik Bader,Cash Only,,,,2015
Stig Björkman,Ingrid Bergman: In Her Own Words,,,,2015
Edward Berger,Jack,,,,2014
Michael Angelo,The Amityville Terror,500000.0,,,2016
Ted Balaker,Can We Take a Joke?,,,,2015
Andrew Traucki,The Jungle,,,,2013
Aaron Leong,Mamaboy,700000.0,,,2017
Guy-Roger Duvert,Virtual Revolution,3200000.0,,,2016
Levan Bakhia,Landmine Goes Click,1000000.0,,,2015
Corey Grant,Bigfoot: The Lost Coast Tapes,,,,2012
,Pablo Escobar: King of Cocaine,,,,1998
Kara Mulrooney,jazzy@32 (a true story),,,,2016
Olivia Neergaard-Holm,David Lynch: The Art Life,,,,2017
Eshom Nelms,Waffle Street,,,,2015
David Michael Conley,Who's Driving Doug,1500000.0,,,2016
Nagesh Kukunoor,Dhanak,,,,2015
Jon Jost,Coming to Terms,,,,2013
Jonathan D. Bucari,No Letting Go,500000.0,,,2016
Russell Holt,The Work and the Glory,7500000.0,3347647.0,0.4463529333333333,2004
Sterling Van Wagenen,The Work and the Glory II: American Zion,6500000.0,2025032.0,0.3115433846153846,2005
Sterling Van Wagenen,The Work and the Glory III: A House Divided,6500000.0,1325092.0,0.2038603076923077,2006
,"The Book of Mormon Movie, Volume 1: The Journey",2000000.0,1672730.0,0.836365,2003
Hanh Nguyen,Caffeinated,200000.0,,,2015
Peter Burger,Erebus: Operation Overdue,,,,2014
David Salzberg,Citizen Soldier,,,,2016
Mat Kirkby,The Phone Call,,,,2013
Caytha Jentis,The One,,,,2011
Mark Thiedeman,Last Summer,,,,2013
,Coaching Colburn,,,,2015
Augusto Genina,L'assedio dell'Alcazar,,,,1940
Jennifer Coyle,DC Super Hero Girls: Hero of the Year,,,,2016
Humberto Rosa,Invoked,,,,2015
Mel Gibson,Hacksaw Ridge,40000000.0,175302354.0,4.38255885,2016
Abe Rosenberg Fishbein,Archive 253,,,,2015
Eric Red,Night of the Wild,,,,2015
Alex Coletti,David Cross: Making America Great Again,,,,2016
Bruno Solo,Espace détente,,,,2005
Anurag Kashyap,Paanch,,,,2003
Cláudio Assis,Rat Fever,,,,2012
Chris Kelly,Other People,,93000.0,,2016
,The First Annual 'On Cinema' Oscar Special,,,,2013
Kelly Reichardt,Travis,,,,2004
Takeshi Fukunaga,Out of My Hand,,,,2015
Gakuryû Ishii,The Crazy Family,,,,1984
Nobuhiko Ôbayashi,School in the Crosshairs,,,,1981
Mamoru Oshii,Kill,,,,2008
Kelly Reichardt,Ode,,,,1999
Joel Heath,People of a Feather,,,,2012
Ron Oliver,Mostly Ghostly 3: One Night in Doom House,,,,2016
João Jardim,Getulio,,,,2014
Stephen Vidano,The Star of Bethlehem,,,,2007
Yasuzô Masumura,Black Test Car,,,,1962
Marcelo Machado,Tropicália,,,,2012
Samira Goetschel,City 40,,,,2016
Seijun Suzuki,"Detective Bureau 2-3: Go to Hell, Bastards!",,,,1963
 Yeon Sang-Ho,The King of Pigs,130000.0,,,2011
Alper Mestçi,Siccîn,,,,2014
Wang Jing,Fall of Ming,,,,2013
Alper Mestçi,Siccin 3: Cürmü Ask,,,,2016
Uwe Boll,Rampage: Capital Punishment,,,,2014
Uwe Boll,Rampage: President Down,,,,2016
Aleksey Balabanov,It Doesn't Hurt Me,,1110566.0,,2006
Aleksey Balabanov,Me Too,,,,2012
Claude Chabrol,Dirty Hands,,,,1975
Andrew V. McLaglen,Breakthrough,,,,1979
Rajko Grlić,That Summer of White Roses,,,,1989
Michael Di Jiacomo,Animals with the Tollkeeper,,,,1998
T. J. Scott,Legacy,,,,1998
Sandy Tung,Shiloh 2: Shiloh Season,,,,1999
Ike Sanders,Final Flesh,,,,2009
,Gringuito,,,,1998
Mark Henn,John Henry,,,,2000
Mike Gabriel,Lorenzo,,,,2004
Kevin Deters,How to Hook Up Your Home Theater,,,,2007
Dean Wellins,Tick Tock Tale,,,,2010
Marcello Cesena,Our Tropical Island,,,,2001
Adam Nimoy,For the Love of Spock,,,,2016
Angela Boatwright,Los Punks: We Are All We Have,,,,2016
Kike Maíllo,Toro,4000000.0,,,2016
Paco León,"Kiki, Love to Love",,,,2016
Wong Jing,Hail the Judge,,,,1994
Ryan Schwartz,Summer of 8,,,,2016
Chris Hunt,Bogart: The Untold Story,,,,1997
,Salam Neighbor,,,,2015
Teddy Soeriaatmadja,Lovely Man,,,,2011
Billy Federighi,Adventures in the Sin Bin,,,,2012
Joe Scott,My Lonely Me,,,,2015
Florian David Fitz,The Most Beautiful Day,,,,2016
Nate Cash,Over the Garden Wall,,,,2014
,Doc Martin and the Legend of the Cloutie,,,,2003
Fernando Colomo,Going Down in Morocco,,,,1989
Lewis R. Foster,El Paso,,,,1949
Richard Thorpe,"Joe Smith, American",,,,1942
Jules Dassin,Nazi Agent,,,,1942
Nacho G. Velilla,Off Course,,,,2015
Martin Shore,Take Me to the River,,,,2014
Harry Keller,Tammy Tell Me True,,,,1961
Lloyd Bacon,The Good Humor Man,,,,1950
E.A. Dupont,The Scarf,,,,1951
Philipp Eichholtz,Love Me!,,,,2014
Seijun Suzuki,Fighting Delinquents,,,,1960
Houda Benyamina,Divines,2791874.0,,,2016
Mario Van Peebles,USS Indianapolis: Men of Courage,40000000.0,,,2016
Saara Cantell,Devil's Bride,3100000.0,,,2016
Francesco Laudadio,The Raffle,,,,1991
Marco Martins,Saint George,,,,2016
Anthony Pierce,The Speak,,,,2011
Caito Ortiz,Jules and Dolores,,,,2016
Igor Kovalyov,"Wings, Legs and Tails",,,,1986
Amir Naderi,Marathon,,,,2002
Harriet Dodge,By Hook or by Crook,,,,2001
Ang Lee,Billy Lynn's Long Halftime Walk,40000000.0,30930984.0,0.7732746,2016
Tuukka Temonen,Born in Heinola,1200000.0,,,2016
Adam Wingard,Blair Witch,5000000.0,45172994.0,9.0345988,2016
Greg Kwedar,Transpecos,,,,2016
John Krasinski,The Hollars,3800000.0,1016985.0,0.26762763157894737,2016
Petra Costa,Olmo & the Seagull,,,,2015
Guto Parente,The Mysterious Death of Pérola,,,,2014
Klaartje Quirijns,Anton Corbijn Inside Out,,,,2012
Ron Howard,The Beatles: Eight Days a Week - The Touring Years,,,,2016
John Stockwell,Kickboxer: Vengeance,17000000.0,,,2016
Nicole Nielsen Horanyi,Naked,,,,2014
Terry George,The Promise,,,,2017
Seijun Suzuki,Voice Without a Shadow,,,,1958
Jeff Nichols,Loving,9000000.0,8996802.0,0.9996446666666666,2016
Yasuaki Nakajima,After the Apocalypse,,,,2004
Eric Notarnicola,The Second Annual 'On Cinema' Oscar Special,,,,2014
Julia Hart,Miss Stevens,,,,2016
Rolfe Kanefsky,The Erotic Misadventures of the Invisible Man,,,,2003
Dagen Merrill,Broken Hill,,54058.0,,2009
Antonio Campos,Christine,,,,2016
Peter Whitehead,Wholly Communion,,,,1965
Peter Mettler,The End of Time,,,,2012
Jason Cohen,Silicon Cowboys,,,,2016
Rob Zombie,31,1500000.0,779820.0,0.51988,2016
Joel Gallen,Comedy Central Roast of Rob Lowe,,,,2016
Tony Elliott,ARQ,,,,2016
Paul Jarrett,Fan Girl,,,,2015
Chris Bell,Prescription Thugs,,,,2016
Steven Cantor,What Remains,1000000.0,,,2005
D.J. Viola,Tell Me How I Die,,,,2016
Геннадий Сокольский,The Adventures of Scamper the Penguin,,,,1987
E. Hardon,Eveready Harton in Buried Treasure,,,,1929
Segundo de Chomón,The House of Ghosts,,,,1908
Anggy Umbara,Warkop DKI Reborn: Jangkrik Boss! Part 1,,,,2016
David Winning,Swamp Devil,2000000.0,,,2008
Ayse Ünal,Bad Cat,,,,2016
David Lynch,More Things That Happened,,,,2007
Shôhei Imamura,Stolen Desire,,,,1958
Don Levy,Ten Thousand Talents,,,,1960
Don Levy,Herostratus,,,,1967
Billy Bitzer,The Impossible Convicts,,,,1906
James Sibley Watson,The Fall of the House of Usher,,,,1928
Gianfranco Rosi,Fire at Sea,,,,2016
Damjan Kozole,Nightlife,,,,2015
Antonio Nuić,Life Is a Trumpet,,,,2015
Chanya Button,Burn Burn Burn,,,,2016
Hugh Hudson,Finding Altamira,9500000.0,,,2016
Acim Vasic,8,,,,2010
Yukihiko Tsutsumi,20th Century Boys - Chapter 2: The Last Hope,,,,2009
Yukihiko Tsutsumi,20th Century Boys - Chapter 3: Our Flag,,,,2009
Matt Cimber,The Candy Tangerine Man,,,,1975
Jussi Eerola,Return of the Atom,,,,2015
Olivier Treiner,The Piano Tuner,,,,2011
Tomas Portella,Love Stories,,,,2016
,Daisy-Head Mayzie,,,,1995
Chuck Jones,Horton Hears a Who!,,,,1970
Bob Clampett,Horton Hatches the Egg,,,,1942
Claudio Giovannesi,Fiore,,,,2016
Ivan Cotroneo,One Kiss,,,,2016
Marco Danieli,Worldly Girl,,,,2016
Giuseppe M. Gaudino,For Your Sake,,,,2015
Laura Morante,Assolo,,,,2016
Roberto Andò,The Confessions,,,,2016
Conor Horgan,The Queen of Ireland,,,,2015
Alfred Shaughnessy,Cat Girl,,,,1957
Chantal Akerman,Tell Me,,,,1980
Rafael Corkidi,Desires,,,,1977
Luis Ortega,Monobloc,,,,2006
Jan Balej,One Night in A City,,,,2007
Júlio Bressane,The Herb of the Rat,,,,2008
Oskari Pastila,Spandex Sapiens,,,,2015
Anthony DiBlasi,Most Likely to Die,,,,2015
Justin Lerner,The Automatic Hate,,,,2015
Keith Maitland,Tower,,,,2016
Park Chan-kyong,Manshin: Ten Thousand Spirits,,,,2014
Nicole Garcia,From the Land of the Moon,10300000.0,47748.0,0.004635728155339806,2016
Steven Green,Gumball 3000: The Movie,,,,2003
Lisa Aschan,White People,,,,2015
David Serrano,We Need to Talk,,,,2016
Vidal Raski,The Sinful Dwarf,,,,1973
Eddie Romero,Mad Doctor of Blood Island,,,,1969
,Оно,,,,1990
William Hanna,Tee for Two,,,,1945
Adisorn Tresirikasem,Bangkok Traffic Love Story,,,,2009
Komkris Triwimol,My Girl,,,,2003
Nawapol Thamrongrattanarit,Freelance,455000.0,,,2015
John Moore,I.T.,13000000.0,,,2016
Shane Van Dyke,Paranormal Entity,,,,2009
Marcus Dunstan,The Neighbor,,,,2016
Kevin Burns,Behind the Planet of the Apes,,,,1998
Olivier Ducastel,Paris 05:59: Théo & Hugo,,,,2016
Yukio Noda,Zero Woman: Red Handcuffs,,,,1974
Dominic Savage,Born Equal,,,,2006
John Alexander,Small Island,,,,2009
Cynthia Mort,Nina,,,,2016
Stuart Gillard,Twitches,,,,2005
Michael Switzer,Three Days,,,,2001
Andrew Jones,The Curse of Robert the Doll,,,,2016
Petr Zelenka,The Karamazov Brothers,,,,2008
Anwar Safa,Jeremy,,,,2016
Rebecca Zlotowski,Planetarium,,,,2016
Juan Antonio Bayona,A Monster Calls,43000000.0,46652768.0,1.0849480930232558,2016
Rob Grant,Desolate,,,,2013
Denis Villeneuve,Arrival,47000000.0,203388186.0,4.327408212765958,2016
Mika Rättö,Samurai Rauni,56000.0,,,2016
Sean S. Cunningham,Terminal Invasion,,,,2002
Josh Becker,Alien Apocalypse,,,,2005
Manuela Burló Moreno,Rumbos,,,,2016
Johannes Grenzfurthner,Traceroute,10000.0,,,2016
Kurt P. Vincent,The Lost Arcade,,,,2015
Mike Elliott,Blue Crush 2,7000000.0,,,2011
Petr Kazda,"I, Olga Hepnarova",,,,2016
Maurice Sendak,Really Rosie,,,,1975
Doug Sweetland,Storks,70000000.0,182379278.0,2.605418257142857,2016
Sidney W. Pink,Journey to the Seventh Planet,,,,1962
Hirokazu Koreeda,After the Storm,,,,2016
Clare Beavan,The Secret World of Lewis Carroll,,,,2015
Gunārs Piesis,In the Shadow of Death,,,,1971
Michael Deak,Zarkorr! The Invader,,,,1996
Mark McQueen,Devil's Playground,2400000.0,,,2010
Isti Madarász,Loop,,,,2016
Iris K. Shim,The House of Suh,,,,2010
,I am not Salvador,,,,2016
,Kalashnikov,,,,2014
Jay Martin,Maximum Ride,,,,2016
Fred Cavayé,Penny Pincher!,,,,2016
Frank D. Gilroy,Money Play$,,,,1998
Uwe Boll,Auschwitz,,,,2011
Griff Furst,Wolvesbayne,,,,2009
Cristi Puiu,Sieranevada,1488410.0,,,2016
Bogdan Mirică,Dogs,,,,2016
Juhn Jai-hong,Poongsan,,,,2011
Andrucha Waddington,Party Crashers,,,,2012
Roberto Santucci,Head Over Heels 2,,,,2012
Cédric Jimenez,Paris Under Watch,,,,2012
Mauro Lima,Kings & Rats,,,,2012
Marcelo Galvão,Bellini e o Demônio,,,,2008
Ahmet Uluçay,Boats Out of Watermelon Rinds,,,,2004
Nic Auerbach,The Big I Am,,,,2010
Toniko Melo,VIPs,,,,2011
André Klotzel,Reflections of a Blender,,,,2010
Louis C.K.,Horace and Pete,,,,2016
Bonni Cohen,Audrie & Daisy,,,,2016
Ulrika Bengts,The Disciple,,,,2013
Bobcat Goldthwait,Iliza Shlesinger: Confirmed Kills,,,,2016
Germinal Alvarez,Back in Crime,,,,2013
Maarten Treurniet,Kenau,,,,2014
Emilio Portes,Pastorela,,,,2011
John Hay,There's Only One Jimmy Grimble,,,,2000
April Wright,Going Attractions: The Definitive Story of the American Drive-in Movie,,,,2013
Alejandro Jodorowsky,Endless Poetry,,,,2016
Sion Sono,Love & Peace,,,,2015
Juan Taratuto,Roles in the Wind,,,,2015
Kiyoshi Kurosawa,Seventh Code,,,,2013
Claude Chabrol,Claude Chabrol's High Heels,,,,1972
György Pálfi,Free Fall,,,,2014
Noboru Tanaka,Secret Chronicle: She Beast Market,,,,1974
Tommy Wiseau,Homeless in America,,,,2004
Tetsuo Shinohara,Karaoke Terror,,,,2003
Stephen Sommers,Catch Me If You Can,,,,1989
Pedro Urrutia,Peace Code,1500000.0,,,2014
Nicholas Eliopoulos,Mary Pickford: The Muse of the Movies,250000.0,,,2008
Mario Philip Azzopardi,Bone Daddy,,,,1998
Adriaan Ditvoorst,Paranoia,,,,1967
Charles Lane,Sidewalk Stories,,,,1989
Bruno VeSota,The Brain Eaters,,,,1958
Jack Curtis,The Flesh Eaters,,,,1964
Rudolph Maté,The Green Glove,,,,1952
Ira Miller,Loose Shoes,,,,1980
Adam Randall,Level Up,,,,2016
Colm McCarthy,The Girl with All the Gifts,5005600.0,,,2016
Gastón Duprat,The Distinguished Citizen,,,,2016
Marek Brodzki,The Hexer,4600000.0,,,2001
Darren Lynn Bousman,Abattoir,,,,2016
Ella Lemhagen,All Roads Lead to Rome,,,,2016
Shin Tae-Ra,Bounty Hunters,,,,2016
Alastair Siddons,In the Dark Half,482910.0,,,2012
Ashley Pearce,Maigret Sets a Trap,,,,2016
Yue Song,The Bodyguard,,,,2016
Shinsuke Sato,I Am a Hero,,,,2015
Ding Sheng,Railroad Tigers,50000000.0,102205175.0,2.0441035,2016
Kim Sung-su,Asura: The City of Madness,,,,2016
Hajime Hashimoto,Zebra,,,,2016
Yuichiro Hirakawa,Erased,,,,2016
Benny Chan,Call of Heroes,32000000.0,,,2016
Jazz Boon,Line Walker,,88658655.0,,2016
Claude Barras,My Life as a Zucchini,8000000.0,292279.0,0.036534875,2016
Goo Mo,Musudan,500.0,500.0,1.0,2016
Lee Kwong-Yiu,Insanity,,,,2014
Zhang Meng,Everybody's Fine,,,,2016
Cirio H. Santiago,Raiders of the Sun,,,,1992
Henry Hathaway,Circus World,,,,1964
Jesús Franco,Marquis de Sade: Justine,,,,1969
Dean Matthew Ronalds,Ashley,,,,2013
Ozualdo Ribeiro Candeias,Zézero,,,,1974
Robert Kirbyson,In-Lawfully Yours,,,,2016
Sohail Khan,Freaky Ali,,,,2016
Marek Piestrak,Pilot Pirx's Inquest,,,,1979
Richard Viktorov,Teens in the Universe,,,,1975
Imre Horvath,Murder: No Apparent Motive,,,,1984
Leonid Kvinikhidze,Failure of Engineer Garin,,,,1973
Fatih Akin,Goodbye Berlin,,,,2016
Sidney Hayers,Payroll,,,,1961
Kanji Nakajima,The Clone Returns Home,,,,2008
Mikhail Kalatozov,True Friends,,,,1954
René Clément,Watch Your Left,,,,1936
Mary Wharton,Joan Baez: How Sweet the Sound,,,,2009
Joram Lürsen,Public Works,,,,2015
Lou Diamond Phillips,Sioux City,,,,1994
Anna Axster,A Country Called Home,,,,2015
Prashant Nair,Delhi in a Day,,,,2012
David T. Friendly,Sneakerheadz,,,,2015
Adrian Tanner,Redistributors,500000.0,,,2016
Lee Ju-hyoung,Red Family,,,,2013
Jahong Koo,Dangerously Excited,,,,2011
Park Jin-Pyo,You Are My Sunshine,,,,2005
Bong Man-dae,Playboy Bong,,,,2013
Ounie Lecomte,A Brand New Life,,,,2009
Noah Buschel,Neal Cassady,,,,2007
Daniel Zirilli,Crossing Point,,,,2016
Megan Griffiths,The Night Stalker,,,,2016
Fred Olen Ray,After Midnight,,,,2014
Petr Zelenka,Lost in Munich,1509896.0,,,2015
Rod Blackhurst,Amanda Knox,,,,2016
Jamal Hill,Brotherly Love,1900000.0,,,2015
Malik Vitthal,Imperial Dreams,,,,2014
Benny Boom,All Eyez on Me,45000000.0,,,2017
Kaspar Munk,You & Me Forever,,,,2012
Tod Lending,All the Difference,,,,2016
Riton Liebman,I'm a Standard Supporter,,,,2013
Sophie Chiarello,Ci vuole un gran fisico,,,,2013
Alessio Maria Federici,Unique Brothers,,,,2014
Marco Ponti,Io che amo solo te,,,,2015
Michele Placido,La scelta,,,,2015
Marco Martani,Cemento Armato,,,,2007
Stephen Reynolds,Interrogation,,,,2016
Douglas Sirk,Take Me to Town,,,,1953
Frank Tuttle,The Hour Before the Dawn,,,,1944
Daniel Lee,Time Raiders,,,,2016
Daniel Lee,Star Runner,,,,2003
Daniel Lee,Moonlight Express,,,,1999
Barney Elliott,The Debt,,,,2015
Dani de la Orden,El pregón,,,,2016
Simon Fitzmaurice,My Name Is Emily,,,,2016
Oliver Dommenget,Duell der Brüder - Die Geschichte von Adidas und Puma,,,,2016
José Luis Sepúlveda,El pejesapo,,,,NaT
Jean Painlevé,The Seahorse,,,,1934
Jean Painlevé,Voyage to the Sky,,,,1937
Nanette Burstein,Gringo: The Dangerous Life of John McAfee,,,,2016
Nacho G. Velilla,No manches Frida,,,,2016
Justin Tipping,Kicks,,,,2016
Matt Johnson,Operation Avalanche,1000000.0,,,2016
Eric Notarnicola,The Third Annual 'On Cinema' Oscar Special,,,,2015
Richard Dutcher,States of Grace,,,,2005
Robert Kirk,Destroyer,,,,1988
Dave Fleischer,Betty Boop's Big Boss,,,,1933
Philip Brophy,Body Melt,,,,1994
Harry Beaumont,Enchanted April,,,,1935
Patrick Schulmann,Zig Zag Story,,,,1983
Ali Akbarzadeh,Killswitch,,,,2015
Rafael Montero,Parallel Courses,,,,2016
Dave Fleischer,Betty Boop's Museum,,,,1932
Tripp Rhame,Bleed,550000.0,,,2016
Aleksey Mizgiryov,The Duelist,12823507.0,6101904.0,0.4758373820827641,2016
Imanol Uribe,The Burgos Trial,,,,1979
Shunji Iwai,A Bride for Rip Van Winkle,,,,2016
Luciano Moura,Father’s Chair,,,,2013
Andrew Bush,Dirty 30,,,,2016
Raúl Arévalo,The Fury of a Patient Man,1200000.0,,,2016
Philippe Muyl,The Nightingale,,,,2014
Nissim Dayan,Farewell Baghdad,,,,2014
Jim Jarmusch,Gimme Danger,,,,2016
Mika Taanila,Tectonic Plate,,,,2016
Sébastien Laudenbach,The Girl Without Hands,,,,2016
Andrey Nekrasov,The Magnitsky Act. - Behind the Scenes,,,,2016
Jan Bubeníček,Murderous Tales,,,,2016
Hong Won-chan,Office,,,,2015
Mikhail Mestetskiy,Rag Union,,,,2015
Erik Gandini,The Swedish Theory of Love,,,,2015
Allison Anders,A Crush on You,,,,2011
Áron Mátyássy,Víkend,,,,2015
András Kern,Gondolj rám,,,,2016
,"My Night, Your Day",,,,2015
William Klein,Muhammad Ali - The Greatest,,,,1969
Antti Jokinen,Flowers of Evil,,,,2016
Ben Bachar,The Last Band in Lebanon,,,,2016
Jörg Steineck,Lo Sound Desert,,,,NaT
Andrew Martin,Capsule,1300000.0,,,2015
Josh Bishop,The Dwarvenaut,,,,2016
Tim Kinzy,Man vs. Snake,,,,2015
Ifa Isfansyah,The Golden Cane Warrior,2000000.0,,,2014
Xavier de Rosnay,Justice: A Cross The Universe,,,,2008
Ben Charles Edwards,Set the Thames on Fire,,,,2016
Francine McDougall,Go Figure,,,,2005
David Jackson,The Spirit of Christmas,,,,2015
Bradford May,Cloudy With a Chance of Love,,,,2015
Peter Sullivan,The Flight Before Christmas,,,,2015
Ernie Barbarash,Second Chances,,,,2013
,"Signed, Sealed, Delivered: Truth Be Told",,,,2015
Kevin Fair,"Signed, Sealed, Delivered: The Impossible Dream",,,,2015
Kevin Fair,"Signed, Sealed, Delivered: From Paris With Love",,,,2015
Kristoffer Tabori,"Murder, She Baked: A Deadly Recipe",,,,2016
Kenny Ortega,The Cheetah Girls 2,,,,2006
Paul Hoen,Cloud 9,,,,2014
Jeffrey Hornaday,Teen Beach 2,,,,2015
Rick Bota,Secret Summer,,,,2016
Lynne Stopkewich,"Signed, Sealed, Delivered: From the Heart",,,,2016
Oz Scott,The Cheetah Girls,,,,2003
Iain B. MacDonald,Mansfield Park,,,,2007
Victor Gonzalez,The Wizards Return: Alex vs. Alex,,,,2013
Mark Jean,Ms. Matched,,,,2016
Peter Sullivan,My Summer Prince,,,,2016
Kevin Fair,"Signed, Sealed, Delivered: One in a Million",,,,2016
Laurence Connor,Jesus Christ Superstar - Live Arena Tour,,,,2012
Jonathan M. Shiff,H2O Just Add Water - The Movie,,,,2011
Brett Sullivan,Love Never Dies,,,,2012
Terry Ingram,Anything for Love,,,,2016
David MacKay,Appetite For Love,,,,2016
Ron Oliver,Perfect Match,,,,2015
Ron Oliver,Date with Love,,,,2016
David Winning,The Convenient Groom,,,,2016
Trevor Nunn,Oklahoma!,,,,1999
Terry Cunningham,Love Finds You In Sugarcreek,,,,2014
Peter Hewitt,Princess of Thieves,,,,2001
Terry Cunningham,Love Finds You in Charm,,,,2015
Terry Cunningham,Love Finds You in Valentine,1000000.0,,,2016
Brendan Toller,Danny Says,,,,2015
Kevin Fair,"Signed, Sealed, Delivered for Christmas",,,,2014
Rodney Bennett,Sense and Sensibility,,,,1981
Mollie Miller,Parent Trap III,,,,1989
Kevin Connor,The Cookie Mobster,,,,2014
Michael Scott,Along Came a Nanny,,,,2014
Ian Toynton,Annie: A Royal Adventure,,,,1995
Tosca Musk,You Cast A Spell On Me,,,,2015
David S. Cass Sr.,Matchmaker Santa,,,,2012
Scott Smith,"Signed, Sealed, Delivered",,,,2013
Clay Glen,Raising the Bar,600000.0,,,2016
Kevin Fair,"Signed, Sealed, Delivered: Lost Without You",,,,2016
Ron Oliver,Harriet the Spy: Blog Wars,,,,2010
Grant Harvey,She Made Them Do It,,,,2012
Joel Potrykus,The Alchemist Cookbook,,,,2016
Julian Amyes,Jane Eyre,,,,1983
Howard Baker,Persuasion,,,,1971
Antony J. Bowman,Paperback Hero,,1369280.0,,1999
Samira Makhmalbaf,Two-Legged Horse,,,,2008
Matthew Diamond,Undercover Bridesmaid,,,,2012
Bille Woodruff,Honey 2,,,,2011
John Glenister,Emma,,,,1972
Nacho Vigalondo,Colossal,,3021345.0,,2017
Craig Atkinson,Do Not Resist,,,,2016
Liu Chia-Liang,Drunken Monkey,,,,2002
Kongkiat Khomsiri,Slice,,,,2009
Zhang Yang,Getting Home,,,,2007
Pema Tseden,Tharlo,,,,2015
Kristoffer Tabori,"Murder, She Baked: A Peach Cobbler Mystery",,,,2016
Dean Bennett,A Heartland Christmas,,,,2010
Michael Damian,Moondance Alexander,,37895.0,,2007
Michael Damian,Flicka: Country Pride,,,,2012
Craig Clyde,The Wild Stallion,,,,2009
Vladimír Michálek,Of Parents and Children,,,,2008
Kevin G. Cremin,Siringo,,,,1995
Ryszard Bugajski,Clearcut,,,,1991
Nadia Tass,Felicity: An American Girl Adventure,6800000.0,,,2005
Martha Coolidge,An American Girl: Chrissa Stands Strong,,,,2009
Nadia Tass,Samantha: An American Girl Holiday,,,,2004
John Lyde,Minor Details,,,,2009
Peter Rader,Escape to Witch Mountain,,,,1995
Vince Marcello,Isabelle Dances Into the Spotlight,,,,2014
Joyce Chopra,Molly: An American Girl on the Home Front,,,,2006
Robert Day,Beyond Witch Mountain,,,,1982
Mark Griffiths,Au Pair 3: Adventure in Paradise,,,,2009
Michelle Johnston,A Cinderella Story: If the Shoe Fits,,,,2016
Dave Schram,Lover of Loser,,,,2009
Maria Peters,Little Crumb,,,,1999
,The Hell of '63,,,,2009
Charles Band,Crash and Burn,,,,1990
Tikhon Kornev,Diggers,,,,2016
Emilis Velyvis,Night Guards,3800000.0,,,2016
Sing-Choong Foo,Where's the Dragon?,,,,2015
Luciano Vidigal,City of God – 10 Years Later,,,,2013
Masaya Fujimori,You Are Umasou,,,,2010
Lisa Ohlin,Veranda för en tenor,,,,1998
Alexandre Lehmann,Blue Jay,,,,2016
Márk Bodzsár,Heavenly Shift,,,,2013
Giorgos Zois,Interruption,,,,2015
Terrence Malick,Voyage of Time: Life's Journey,,,,2017
Michael Feifer,A Star for Christmas,,,,2012
Damien Chazelle,La La Land,30000000.0,445435700.0,14.847856666666667,2016
,Coyote Waits,,,,2003
Chris Eyre,A Thief Of Time,,,,2004
Ava DuVernay,13th,,,,2016
Rain Tolk,Umbkotid,,,,2012
Kurt Kuenne,Validation,,,,2007
Joseph Barbera,Flirty Birdy,,,,1945
Rainer Sarnet,Where Souls Go,,,,2007
Rob Gibbs,Air Mater,,,,2011
Richie Smyth,The Siege of Jadotville,,,,2016
Aleksey Krasovskiy,Collector,,,,2016
André Téchiné,Being 17,,,,2016
Ilmar Raag,Love Is Blind,,,,2013
Gary Michael Schultz,Vincent N Roxxy,5000000.0,,,2016
Jacob Frey,The Present,,,,2014
Ishaya Bako,Road to Yesterday,,,,2015
Osmany Rodriguez,Brother Nature,,,,2016
Tjebbo Penning,Clean Hands,,,,2015
Asghar Farhadi,The Salesman,,2402067.0,,2016
Ain Mäeots,Demons,,,,2012
Daihachi Yoshida,Pale Moon,,,,2014
Charles Evered,Adopt a Sailor,300000.0,,,2008
Karen J. Lloyd,Barbie in Rock 'N Royals,,,,2015
Conrad Helten,Barbie: Spy Squad,,,,2016
Kim Sang-jin,Kick the Moon,,,,2001
Juan Carlos Tabío,The Waiting List,,,,2000
Don McBrearty,Chasing Freedom,,,,2004
Herbert L. Strock,How to Make a Monster,,,,1958
Harold Young,Jungle Captive,,,,1945
Paul Negoescu,Two Lottery Tickets,,,,2016
Iulia Rugină,Love Building,,,,2013
David Greene,After the Promise,,,,1987
Robert Zemeckis,Allied,85000000.0,119520023.0,1.4061179176470588,2016
Bryan Bertino,The Monster,2700000.0,,,2016
,Skateboard,,,,1978
Helmut Weiss,Drei Mann in einem Boot,,,,1961
Lewis R. Foster,Angora Love,,,,1929
Philip Haas,The Blood Oranges,,,,1998
Victor Halperin,Buried Alive,,,,1939
Nicole Lucas Haimes,Chicken People,,,,2016
Bill Wilson,By the Sea,,,,1982
David Morris,Mr. Right,,,,2009
